Date,Primary Type,Location Description,Arrest,Community Area,Latitude,Longitude
2019-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,APARTMENT,False,58,41.80819279,-87.699528565
2019-01-01 00:01:00,DECEPTIVE PRACTICE,RESIDENCE,False,68,41.777186468000004,-87.65322170700001
2019-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,STREET,False,22,41.927312670999996,-87.70453554
2019-01-01 00:01:00,DECEPTIVE PRACTICE,APARTMENT,False,25,41.874896437,-87.751134319
2019-01-01 00:01:00,THEFT,RESIDENCE,False,25,41.890080382,-87.768724437
2019-01-01 00:01:00,ASSAULT,STREET,False,35,41.833679765,-87.612645497
2019-01-01 00:01:00,DECEPTIVE PRACTICE,OTHER,False,33,41.84783858,-87.616780783
2019-01-01 00:01:00,DECEPTIVE PRACTICE,RESIDENCE,False,6,41.953021430999996,-87.665810693
2019-01-01 00:01:00,OTHER OFFENSE,APARTMENT,False,15,41.947945052,-87.747860177
2019-01-01 00:01:00,DECEPTIVE PRACTICE,RESIDENCE,False,75,41.682845565,-87.66877529700001
2019-01-01 00:01:00,OTHER OFFENSE,OTHER,False,75,41.698251726,-87.67296684200001
2019-01-01 00:01:00,WEAPONS VIOLATION,ALLEY,True,23,41.889196391,-87.71740372200001
2019-01-01 00:01:00,CRIMINAL DAMAGE,RESIDENCE,False,43,41.75836602,-87.55627603200001
2019-01-01 00:01:00,THEFT,STREET,False,32,41.883527056999995,-87.63091705299999
2019-01-01 00:01:00,ROBBERY,STREET,False,48,41.725661136,-87.575433532
2019-01-01 00:01:00,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,False,67,41.778969503,-87.654486077
2019-01-01 00:01:00,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),False,72,41.716988559,-87.6722403
2019-01-01 00:01:00,CRIMINAL DAMAGE,RESIDENCE,False,36,41.817986389,-87.603257611
2019-01-01 00:01:00,CRIMINAL DAMAGE,STREET,False,33,41.852906215,-87.62769911
2019-01-01 00:01:00,MOTOR VEHICLE THEFT,STREET,False,25,41.911613189,-87.78834440799999
2019-01-01 00:01:00,THEFT,RESIDENCE,False,50,41.68671441,-87.608291235
2019-01-01 00:01:00,BURGLARY,APARTMENT,False,46,41.749213103,-87.552128148
2019-01-01 00:01:00,BURGLARY,APARTMENT,True,24,41.895024194,-87.65166075
2019-01-01 00:01:00,OTHER OFFENSE,RESIDENCE,False,3,41.971852622,-87.65048914200001
2019-01-01 00:01:00,DECEPTIVE PRACTICE,RESIDENCE,False,13,41.992690797,-87.717712796
2019-01-01 00:01:00,OTHER OFFENSE,APARTMENT,False,63,41.793834119,-87.681766952
2019-01-01 00:01:00,OTHER OFFENSE,RESIDENCE,False,69,41.774548831,-87.629020579
2019-01-01 00:01:00,DECEPTIVE PRACTICE,OTHER,False,42,41.775900146,-87.59852921299999
2019-01-01 00:01:00,DECEPTIVE PRACTICE,APARTMENT,False,24,41.896494407,-87.69056086799999
2019-01-01 00:01:00,THEFT,RESIDENCE,False,68,41.782937259,-87.646095517
2019-01-01 00:01:00,DECEPTIVE PRACTICE,APARTMENT,False,64,41.783088221,-87.741222583
2019-01-01 00:01:00,DECEPTIVE PRACTICE,OTHER,False,22,41.930783858000005,-87.70248755
2019-01-01 00:01:00,DECEPTIVE PRACTICE,RESIDENCE,False,56,41.793351318,-87.79405233
2019-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,False,71,41.75156552,-87.65134102100002
2019-01-01 00:01:00,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),False,69,41.759457795,-87.61833296299999
2019-01-01 00:02:00,CRIMINAL DAMAGE,RESIDENCE,False,30,41.84636092,-87.703163469
2019-01-01 00:02:00,WEAPONS VIOLATION,STREET,True,42,41.783120383,-87.613266958
2019-01-01 00:02:00,CRIMINAL DAMAGE,RESIDENCE,False,48,41.731168542,-87.589224482
2019-01-01 00:03:00,BATTERY,HOTEL/MOTEL,False,8,41.894821547,-87.63213392799999
2019-01-01 00:03:00,WEAPONS VIOLATION,RESIDENTIAL YARD (FRONT/BACK),True,25,41.912051569,-87.772807303
2019-01-01 00:05:00,CRIMINAL DAMAGE,RESIDENCE,False,44,41.742968219,-87.6084099
2019-01-01 00:05:00,THEFT,RESIDENCE,False,44,41.742967535,-87.61793332200001
2019-01-01 00:08:00,WEAPONS VIOLATION,ALLEY,False,31,41.855015591,-87.668948752
2019-01-01 00:08:00,NARCOTICS,SIDEWALK,True,31,41.854122448000005,-87.667309894
2019-01-01 00:10:00,CRIMINAL DAMAGE,RESIDENCE,False,45,41.739446992,-87.580624641
